"","prop_US_house","prop_US_sen","prop_gov","party_diff_uncontested_state_house","state_house_contested","party_diff_uncontested_state_sen","state_sen_contested"
"137",0.580962245,0.548418053,0.5028,0,0.557860801,0,0.543594859
"138",0.643208837,0.567408583,0.5028,0.002659574,0.592455966,0,0.580364683
"139",0.592890169,0.567408583,0.512964449,-0.006593407,0.518711169,0,0.509118136
"140",0.621579184,0.624931535,0.512964449,-0.006944444,0.538926888,0.008130081,0.522906742
"141",0.414322398,0.585565648,0.4275,0.013157895,0.523323838,0.058823529,0.533365923
"142",0.377678791,0.585565648,0.2877,0.037974684,0.438419576,0.045454545,0.432045195
"143",0.530643129,0.444817411,0.2877,0.035294118,0.496426571,0,0.533776392
"144",0.585324654,0.601105184,0.4447,-0.01369863,0.494731026,-0.066666667,0.541669436
"145",0.6642039,0.601105184,0.4447,0.058823529,0.457592641,0.058823529,0.616023672
"146",0.675166406,0.379386676,0.2927,0.045454545,0.447295696,0,0.539414867
"147",0.667049125,0.636258114,0.2927,0.016129032,0.460526851,0.052631579,0.566422954
"148",0.434166596,0.636258114,0.6641001,-0.041666667,0.513857698,0.264705882,0.517004201
"149",0.27297115,0.432177656,0.6641001,0,0.391695035,0,0.48668994
"150",0.283029729,0.611580725,0.695,-0.039473684,0.452022184,0.047619048,0.585775159
"151",0.324083111,0.611580725,0.695,-0.161290323,0.488686478,0.058823529,0.514004454
"152",0.312983116,0.559599577,0.5985,-0.045454545,0.47636155,0.210526316,0.56092412
"153",0.270419651,0.587938934,0.5985,-0.068493151,0.442656206,0.083333333,0.52839816
"154",0.300590855,0.587938934,0.5263,-0.015151515,0.455681802,0.0625,0.444478128
"155",0.404059438,0.709805619,0.5263,0.029411765,0.503859384,0.157894737,0.626023492
"156",0.383464573,0.646865126,0.6781,0.024691358,0.544835094,0.25,0.515412443
"157",0.58044049,0.585770791,0.6781,0,0.546103939,0.055555556,0.576372244
"158",0.658255419,0.696417092,0.708062886,0.115942029,0.549224965,0.12195122,0.520690286
"159",0.617144116,0.569357411,0.708062886,0.111111111,0.516279606,0.095238095,0.48215771
"160",0.57546168,0.569357411,0.598194848,0.184615385,0.482112313,0.055555556,0.479674446
"161",0.585218322,0.629773739,0.5559,0.231182796,0.541961701,0.212121212,0.565137854
"162",0.586996659,0.483410523,0.5559,0.260606061,0.490166973,0.0625,0.519668531
"163",0.59295299,0.617289428,0.647,0.173267327,0.52759815,0.245901639,0.546006124
"164",0.51106829,0.617289428,0.647,0.176136364,0.490685751,0.285714286,0.473955867
"165",0.538993514,0.547401557,0.4544,0.094736842,0.522319633,0.0625,0.48591965
"166",0.469688694,0.495756982,0.4544,0.069364162,0.515212331,-0.076923077,0.555158029
"167",0.510498652,0.495756982,0.5652,0.104972376,0.520105408,0,0.516987367
"168",0.473356061,0.654074812,0.5652,0.025906736,0.52026557,0.136363636,0.458673439
"169",0.405513937,0.294847236,0.5076,0,0.487821256,0.125,0.429065612
"170",0.435529966,0.294847236,0.5076,-0.016759777,0.502131158,-0.133333333,0.483077756
"171",0.510002679,0.624693795,0.4473,-0.115151515,0.497882585,-0.037037037,0.53872767
"172",0.409334291,0.524947079,0.4473,-0.051546392,0.480274203,-0.15625,0.531376825
"173",0.415610309,0.524947079,0.4352,-0.0078125,0.468662135,-0.174603175,0.475393593
"174",0.399941428,0.494309358,0.4352,-0.117647059,0.427469347,-0.111111111,0.470434587
"175",0.422959306,0.612835949,0.4636,-0.129533679,0.490182815,-0.138888889,0.450998893
"176",0.475277847,0.612835949,0.4636,-0.036842105,0.462570833,0,0.451411495
"177",0.381539232,0.292332131,0.4941,-0.044247788,0.435103337,-0.282051282,0.48058554
"178",0.469931815,0.566726487,0.4941,-0.135,0.520450415,-0.109589041,0.52608728
